molregno	canonical_smiles
148	O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23
213	Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21
222	Cn1cc(C2=C(c3cn(CCCN)c4ccccc34)C(=O)NC2=O)c2ccccc21
250	C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1
924	C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC
1054	CCCCCCCCC#Cc1ccc2c(c1)C[C@@H](CO)NC(=O)[C@H](C(C)C)N2C
3666	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
2241	O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1c[nH]c2ccccc12
2249	CN(C)CCCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21
24580	CC(C)(C)c1nc2c3ccc(F)cc3c3c(=O)[nH]ccc3c2[nH]1
11305	O=C(CCCCCCC(=O)Nc1ccccc1)NO
12835	Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCCN(C)C
12841	Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCc1ccncc1
12842	Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCCN1CCOCC1
12846	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(Cl)cc32)c1C
12878	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(Br)cc32)c1C
12879	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccccc32)c1C
12911	Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1
12922	Cc1[nH]c(/C=C2\C(=O)Nc3ccccc32)c(C)c1CCC(=O)O
12955	Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCCN1CCCC1
12967	Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCCn1cncn1
12987	Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCC1CCN(C)CC1
13048	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C
14785	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
14805	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
32530	CN(C)C[C@H]1CCn2c(c(C3=C(c4cn(C)c5ccccc45)C(=O)NC3=O)c3ccccc32)C1
31312	COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O
41608	C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2n1
34952	CCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@]3(O)C(=O)C(C)=C[C@@H]23)[C@@H]2C(C)(C)[C@]12OC(=O)CCC
35352	COC(=O)[C@@]1(O)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
42358	C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Br)c3)c2c1
43103	C=CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1
43264	CN(C)C/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)c(C#N)cnc2cn1
43524	COc1cc2c(Nc3ccc(Oc4ccccc4)cc3)c(C#N)cnc2cc1OCCCN1CCOCC1
41664	C=CC(=O)Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1
41764	C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1
41766	C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1
42238	C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
52141	CCSCc1ccc2c(c1)c1c3c(c4c5cc(CSCC)ccc5n5c4c1n2[C@H]1C[C@](O)(C(=O)OC)[C@]5(C)O1)CNC3=O
52238	CCCCCCCCCCc1ccc2c(c1)N(C)[C@@H](C(C)C)C(=O)N[C@H](CO)C2
75193	O=C(OC1CCCC1Cc1ccc(O)cc1)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1
55962	COC(=O)[C@]1(O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
62111	COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl
62246	COc1cc(Nc2c(C#N)cnc3cc(OCCCC4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl
75229	O=C(NC1CNCCCC1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1
75293	O=C(OC1CCCC1Oc1ccc(O)cc1)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1
75629	O=C(OC1CNCC1Cc1ccc(O)cc1)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1
76528	CCCC[C@@H]1C(=O)N[C@H](CO)C[C@]2(C)CC(CCCC)(CCCC)CC[C@@H]12
78520	OCCCNc1cc(-c2ccnc(Nc3cccc(Cl)c3)n2)ccn1
78560	O=C1Cc2c([nH]c3ccc([N+](=O)[O-])cc23)-c2ccccc2N1
78648	C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2n1
76561	CCCCCCCC[C@@H]1C(=O)N[C@H](CO)C[C@]2(C)CC(CCCC)(CCCC)CC[C@@H]12
76810	CCCCC1(CCCC)CC[C@H]2[C@H](C)C(=O)N[C@H](CO)C[C@]2(C)C1
83168	Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccc5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21
79572	C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
79573	C=CC(=O)Nc1cc2c(Nc3cccc(C)c3)ncnc2cn1
79688	C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Br)c3)ncnc2cn1
79799	C=CC(=O)Nc1ccc2ncnc(N3CCc4ccc(Br)cc43)c2c1
79800	C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Br)c3)c2n1
79801	C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1
75006	O=C(NC1CCCC1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1
75007	O=C(NC1CNCC1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1
80528	Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
83189	CN1CCC(n2cc(C3=C(c4cn(C)c5ccccc45)C(=O)NC3=O)c3ccccc32)CC1
83217	Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21
81140	Cn1cc(C2=C(c3ccccc3Cl)C(=O)NC2=O)c2ccccc21
80121	C=CC(=O)Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1
80156	C=CC(=O)Nc1ccc2ncnc(Nc3cccc(C(F)(F)F)c3)c2c1
80234	C=CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1
80235	C=CC(=O)Nc1ccc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2c1
83299	CN1CCC(n2cc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc32)CC1
80354	C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1
83315	CC(C)N1CCC(n2cc(C3=C(c4cn(C)c5ccccc45)C(=O)NC3=O)c3ccccc32)CC1
83354	CCN1CCC(n2cc(C3=C(c4cn(C)c5ccccc45)C(=O)NC3=O)c3ccccc32)CC1
83387	CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1.CS(=O)(=O)O
83427	Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccc5)C4)c4ccccc34)C(=O)NC2=O)c2ccccc21
83500	Cn1cc(C2=C(c3cn(C4CCN(CC5CC5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21
83665	Cn1cc(C2=C(c3cn(C4CCNCC4)c4ccccc34)C(=O)NC2=O)c2ccccc21
81680	Cn1cc(C2=C(c3cccs3)C(=O)NC2=O)c2ccccc21
84254	CCSCc1ccc2c(c1)c1c3c(c4c5cc(CSCC)ccc5n5c4c1n2C1C[C@](O)(C(=O)OC)[C@]5(C)O1)CNC3=O
81947	Cn1cc(C2=C(c3cccc(N)c3)C(=O)NC2=O)c2ccccc21
82117	CS(=O)(=O)Nc1cccc(O)c1C(=O)c1c(O)cc(C(=O)O[C@@H]2CCC[C@H]2NC(=O)c2ccc(O)cc2)cc1O
86289	CCS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCCN(C)C)CCCC3)C(=O)N2
86347	CNS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCC(N)=O)CCCC3)C(=O)N2
86372	CNS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCCN(C)C)CCCC3)C(=O)N2
86446	CNS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCCN1CCN(CC(=O)O)CC1)CCCC3)C(=O)N2
101371	C#Cc1cc(Nc2ncnc3cc(OC)c(OC)cc23)ccc1F
86531	CCOC(=O)CN1CCN(CCCc2c(/C=C3\C(=O)Nc4ccc(S(=O)(=O)NC)cc43)[nH]c3c2CCCC3)CC1
86593	CCS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCCN1CCN(CC(=O)O)CC1)CCCC3)C(=O)N2
86796	CCS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCCN1CCC(O)CC1)CCCC3)C(=O)N2
86830	CNS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCCN1CCC(O)CC1)CCCC3)C(=O)N2
86853	CNS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCCN1CCN(C)CC1)CCCC3)C(=O)N2
86890	CCS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCC(N)=O)CCCC3)C(=O)N2
86923	CNS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCCN1CCN(CCO)CC1)CCCC3)C(=O)N2
86941	CNS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCCN1CCOCC1)CCCC3)C(=O)N2
87068	CCS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCCN1CCN(C)CC1)CCCC3)C(=O)N2
88232	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
95813	O=C(N[C@@H]1CNCCC[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1
101939	O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCO[C@H](CO)CCn1cc2c2ccccc21
102675	C#Cc1cccc(Nc2ncnc3cc(OC)c(OC)cc23)c1
82402	O=C(N[C@@H]1CCC[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1
83100	O=C(N[C@@H]1CCC[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2-c2nn[nH]n2)c(O)c1)c1ccc(O)cc1
88882	CC(/C=C1\SC(=S)N(CC(=O)O)C1=O)=C\c1ccccc1
96465	O=C(N[C@@H]1CNC[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1
106882	O=C(N[C@H]1C[C@H](O)C[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1
106952	O=C(N[C@H]1COCCC[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1
107203	O=C(N[C@H]1CNCCC[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1
105349	CN(C)CCNC(=O)c1ccc(/C=N/Nc2ncnc3c2cnn3-c2cccc3[nH]cnc23)cc1
107503	O=C(N[C@H]1C[C@H](CO)C[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1
107504	NC[C@@H]1C[C@H](NC(=O)c2ccc(O)cc2)[C@H](OC(=O)c2cc(O)c(C(=O)c3c(O)cccc3C(=O)O)c(O)c2)C1
107505	NC[C@H]1C[C@H](NC(=O)c2ccc(O)cc2)[C@H](OC(=O)c2cc(O)c(C(=O)c3c(O)cccc3C(=O)O)c(O)c2)C1
107506	O=C(N[C@H]1C[C@@H](CO)C[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1
116377	O=C1Nc2ccc(I)cc2/C1=C/c1cc(Br)c(O)c(Br)c1
105822	Fc1ccc(/C=N/Nc2ncnc3c2cnn3-c2ccccc2)cc1
105937	CCOC(=O)c1cccc(O)c1C(=O)c1c(O)cc(C(=O)O[C@@H]2CNC[C@H]2NC(=O)c2ccc(O)cc2)cc1O
105938	COC(=O)c1cccc(O)c1C(=O)c1c(O)cc(C(=O)O[C@@H]2CNC[C@H]2NC(=O)c2ccc(O)cc2)cc1O
105946	COC(=O)c1cccc(O)c1C(=O)c1c(O)cc(C(=O)O[C@@H]2CCC[C@H]2NC(=O)c2ccc(O)cc2)cc1O
106223	N[C@@H]1C[C@H](NC(=O)c2ccc(O)cc2)[C@H](OC(=O)c2cc(O)c(C(=O)c3c(O)cccc3C(=O)O)c(O)c2)C1
106458	CC(=O)OCOC(=O)c1cccc(O)c1C(=O)c1c(O)cc(C(=O)O[C@@H]2CNC[C@H]2NC(=O)c2ccc(O)cc2)cc1O
106459	CC(C)(C)C(=O)OCOC(=O)c1cccc(O)c1C(=O)c1c(O)cc(C(=O)O[C@@H]2CNC[C@H]2NC(=O)c2ccc(O)cc2)cc1O
112236	O=C(N[C@@H]1CNCCCC1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1
154324	COC(=O)c1cc(-c2ccc(F)cc2F)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2
128763	CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@]3(O)C(=O)C(C)=C[C@@H]23)[C@@H]2C(C)(C)[C@]12OC(C)=O
137020	Cc1cccc(Cl)c1Nc1nc2cc(N)ccc2n2cncc12
137652	CCCOc1ccc(/C=C2\SC(=O)NC2=O)cc1
144921	CN1CCN(C[C@@H]2CCn3cc(c4ccccc43)C3=C(C(=O)NC3=O)c3cn(c4ccccc34)CCO2)CC1
144959	CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1
145610	CNC[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1
151444	Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O
119594	O=c1cc(-c2ccccc2)oc2c(O)c(O)ccc12
125475	CC(=O)N[C@@H](Cc1ccc(C(C(=O)O)C(=O)O)c(C(=O)O)c1)C(=O)N[C@H]1CCCCN(Cc2ccc(-c3ccccc3)cc2)C1=O
149233	CN(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
149820	CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
150888	Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1
154609	COC(=O)c1cc(-c2ccccc2C)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2
154624	COC(=O)c1cc(-c2ccc(F)cc2)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2
154657	CCCCCCCC/C=C\CCCCCCC/C=C1\CC(CO)(COC(C)=O)OC1=O
154684	COC(=O)c1cc(-c2ccccc2Cl)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2
155030	CCCC/C=C\CCCCCCC/C=C1\CC(CO)(COC(C)=O)OC1=O
155182	COC(=O)c1cc(-c2ccc(F)cc2C)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2
155225	COC(=O)c1cc(-c2ccccc2F)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2
155308	COC(=O)c1cc(-c2ccccc2)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2
156308	COC(=O)[C@]1(O)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
169857	CN1CCOCCOCCN(C)CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CC1
160386	Nc1ncnc2c1c(I)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
169920	CN1CCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCCOCC1
169962	Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21
169993	CCN1CCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCC1
170112	CN1CCOCCN(C)CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CC1
170144	CCN1CCOCCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CC1
170229	Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(P(=O)(O)CP(=O)(O)O)cc3)nc21
170284	CN(C)CCCn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(P(=O)(O)CP(=O)(O)O)cc3)nc21
179292	CCCCCCCC/C=C\CCCCCCC/C=C1/CC(CO)(COC(C)=O)OC1=O
169054	O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl
169457	O=S(=O)(NCCNC/C=C/c1ccc(Br)cc1)c1cccc2cnccc12
176272	Cc1cccc(Cl)c1Nc1nc2ccc(NCCCN3CCOCC3)cc2n2cncc12
176274	Cc1cccc(Cl)c1Nc1nc2ccc(N3CCN(C=O)CC3)cc2n2cncc12
176290	COC(=O)c1ccc2nc(Nc3c(C)cccc3Cl)c3cncn3c2c1
176338	Cc1cccc(Cl)c1Nc1nc2ccc(N)cc2n2cncc12
176418	O=[N+]([O-])c1ccc2nc(Nc3c(Cl)cccc3Cl)c3cncn3c2c1
176433	Cc1cccc(Cl)c1Nc1nc2cc(O)c(O)cc2n2cncc12
176544	Cc1cccc(Cl)c1Nc1nc2cc(NCCCN(C)C)ccc2n2cncc12
182337	CCCCCCCC/C=C1/CC(CO)(COC(=O)c2ccccc2)OC1=O
182355	O=C1OC(CO)(COC(=O)c2ccccc2)C/C1=C/c1ccc(-c2ccccc2)cc1
182356	CCCCCCCC/C=C1/CC(CO)(COC(=O)c2ccc(-c3ccccc3)cc2)OC1=O
183101	Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(O)cc3)nc21
172693	Cn1cc(/C=C2\C(=O)Nc3ccc(S(N)(=O)=O)cc32)c2ccccc21
172694	COc1ccc2c(c1)c(/C=C1\C(=O)Nc3ccc(S(N)(=O)=O)cc31)cn2C
172777	COc1ccc2[nH]cc(/C=C3\C(=O)Nc4ccc(S(N)(=O)=O)cc43)c2c1
172807	COc1ccc2c(c1)c(/C=C1\C(=O)Nc3ccc(S(=O)(=O)N(C)C)cc31)cn2C
172835	CNS(=O)(=O)c1ccc2c(c1)/C(=C/c1cn(C)c3ccc(OC)cc13)C(=O)N2
173334	NS(=O)(=O)c1ccc2c(c1)/C(=C/c1c[nH]c3ccccc13)C(=O)N2
193730	CCCCCCCC/C=C\CCCCCCC/C=C1/C[C@@](CO)(COC(C)=O)OC1=O
181684	O=C1OC(CO)(COC(=O)c2ccc(-c3ccccc3)cc2)C/C1=C/c1ccc(-c2ccccc2)cc1
181727	CCCCCCCCC/C=C1/CC(CO)(COC(=O)c2ccccc2)OC1=O
181760	CCCCCCCCC/C=C1/CC(CO)(COC(=O)c2ccc(-c3ccccc3)cc2)OC1=O
195134	COCCN(C)CCOc1ccc2[nH]c(-c3cc4ccccc4nc3O)cc2c1
195355	CN(C)CCCOc1ccc(-c2cnc3c(-c4ccsc4)cnn3c2)cc1
195653	O=C(O)C1CCN(CCCOc2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)CC1
190814	O=C(Nc1cccc2c1C(=O)c1c(-c3ccc(C(=O)N4CCNCC4)s3)n[nH]c1-2)NN1CCOCC1
193843	CCCCCCCC/C=C\CCCCCCC/C=C1\C[C@@](CO)(COC(C)=O)OC1=O
194549	CN1CCN(S(=O)(=O)c2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)CC1
198656	COc1ccc(C#CC(C)(C)N)cc1C(=O)c1ccc(Nc2ccc(F)cc2F)cc1
194553	O=S(=O)(c1ccc2[nH]c(-c3cc4ccccc4nc3O)cc2c1)N1CCNCC1
194554	NC1CCN(S(=O)(=O)c2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)C1
194563	O=S(=O)(NC1CCNC1)c1ccc2[nH]c(-c3cc4ccccc4nc3O)cc2c1
194654	COCCN(CCOc1ccc(-c2cnc3c(-c4ccsc4)cnn3c2)cc1)Cc1ccccc1
225425	Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1
205165	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1
214952	O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCOCCOCCOCCn1cc2c2ccccc21
214994	O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCOCCOCCOCCn1cc2c2cccnc21
220898	O=Nc1c(-c2c(O)[nH]c3ccc(I)cc23)[nH]c2ccccc12
221482	CC(C)[C@H]1C(=O)N[C@H](CO)Cc2cc(NC(=O)CCCCCCCCCCCCC(=O)Nc3ccc4c(c3)N(C)[C@@H](C(C)C)C(=O)N[C@H](CO)C4)ccc2N1C
221993	COc1cc(OC)cc(-c2cc3cnc(NCCCN4CCOCC4)cc3nc2NC(=O)NC(C)(C)C)c1
210569	OCCN(CCO)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1
